dataset,weights,type,noise_level,acc
CBF,MrSEQL-SM,1,0,1.0
CBF,MrSEQL-SM,1,10,0.9978
CBF,MrSEQL-SM,1,20,0.9978
CBF,MrSEQL-SM,1,30,0.9956
CBF,MrSEQL-SM,1,40,0.9956
CBF,MrSEQL-SM,1,50,0.9956
CBF,MrSEQL-SM,1,60,0.9956
CBF,MrSEQL-SM,1,70,0.9944
CBF,MrSEQL-SM,1,80,0.9911
CBF,MrSEQL-SM,1,90,0.9856
CBF,MrSEQL-SM,1,100,0.9789
CBF,MrSEQL-SM,2,0,1.0
CBF,MrSEQL-SM,2,10,0.9989
CBF,MrSEQL-SM,2,20,1.0
CBF,MrSEQL-SM,2,30,0.9989
CBF,MrSEQL-SM,2,40,0.9989
CBF,MrSEQL-SM,2,50,0.9989
CBF,MrSEQL-SM,2,60,0.9989
CBF,MrSEQL-SM,2,70,0.9944
CBF,MrSEQL-SM,2,80,0.9922
CBF,MrSEQL-SM,2,90,0.9878
CBF,MrSEQL-SM,2,100,0.9789
CBF,ResNetCAM,1,0,1.0
CBF,ResNetCAM,1,10,0.9989
CBF,ResNetCAM,1,20,0.9978
CBF,ResNetCAM,1,30,0.9967
CBF,ResNetCAM,1,40,0.9956
CBF,ResNetCAM,1,50,0.9956
CBF,ResNetCAM,1,60,0.9956
CBF,ResNetCAM,1,70,0.9944
CBF,ResNetCAM,1,80,0.9922
CBF,ResNetCAM,1,90,0.9878
CBF,ResNetCAM,1,100,0.9789
CBF,ResNetCAM,2,0,1.0
CBF,ResNetCAM,2,10,0.9989
CBF,ResNetCAM,2,20,0.9989
CBF,ResNetCAM,2,30,0.9989
CBF,ResNetCAM,2,40,0.9989
CBF,ResNetCAM,2,50,0.9989
CBF,ResNetCAM,2,60,0.9978
CBF,ResNetCAM,2,70,0.9944
CBF,ResNetCAM,2,80,0.9911
CBF,ResNetCAM,2,90,0.9889
CBF,ResNetCAM,2,100,0.9789
CMJ,MrSEQL-SM,1,0,0.9609
CMJ,MrSEQL-SM,1,10,0.9553
CMJ,MrSEQL-SM,1,20,0.9497
CMJ,MrSEQL-SM,1,30,0.9218
CMJ,MrSEQL-SM,1,40,0.8939
CMJ,MrSEQL-SM,1,50,0.8659
CMJ,MrSEQL-SM,1,60,0.8156
CMJ,MrSEQL-SM,1,70,0.8101
CMJ,MrSEQL-SM,1,80,0.8212
CMJ,MrSEQL-SM,1,90,0.7933
CMJ,MrSEQL-SM,1,100,0.7877
CMJ,MrSEQL-SM,2,0,0.9609
CMJ,MrSEQL-SM,2,10,0.9609
CMJ,MrSEQL-SM,2,20,0.9609
CMJ,MrSEQL-SM,2,30,0.9609
CMJ,MrSEQL-SM,2,40,0.9609
CMJ,MrSEQL-SM,2,50,0.9609
CMJ,MrSEQL-SM,2,60,0.9441
CMJ,MrSEQL-SM,2,70,0.9385
CMJ,MrSEQL-SM,2,80,0.8994
CMJ,MrSEQL-SM,2,90,0.8603
CMJ,MrSEQL-SM,2,100,0.7877
CMJ,ResNetCAM,1,0,0.9609
CMJ,ResNetCAM,1,10,0.9553
CMJ,ResNetCAM,1,20,0.9553
CMJ,ResNetCAM,1,30,0.9609
CMJ,ResNetCAM,1,40,0.9497
CMJ,ResNetCAM,1,50,0.9218
CMJ,ResNetCAM,1,60,0.8715
CMJ,ResNetCAM,1,70,0.838
CMJ,ResNetCAM,1,80,0.8268
CMJ,ResNetCAM,1,90,0.7877
CMJ,ResNetCAM,1,100,0.7877
CMJ,ResNetCAM,2,0,0.9609
CMJ,ResNetCAM,2,10,0.9553
CMJ,ResNetCAM,2,20,0.9553
CMJ,ResNetCAM,2,30,0.9497
CMJ,ResNetCAM,2,40,0.9441
CMJ,ResNetCAM,2,50,0.933
CMJ,ResNetCAM,2,60,0.8771
CMJ,ResNetCAM,2,70,0.838
CMJ,ResNetCAM,2,80,0.8101
CMJ,ResNetCAM,2,90,0.7933
CMJ,ResNetCAM,2,100,0.7877
CMJ,MrSEQL-LIME,1,0,0.9609
CMJ,MrSEQL-LIME,1,10,0.9665
CMJ,MrSEQL-LIME,1,20,0.9609
CMJ,MrSEQL-LIME,1,30,0.9441
CMJ,MrSEQL-LIME,1,40,0.9218
CMJ,MrSEQL-LIME,1,50,0.8883
CMJ,MrSEQL-LIME,1,60,0.8771
CMJ,MrSEQL-LIME,1,70,0.8492
