dataset,weights,type,noise_level,acc
CBF,MrSEQL-SM,1,0,0.6322
CBF,MrSEQL-SM,1,10,0.6322
CBF,MrSEQL-SM,1,20,0.6156
CBF,MrSEQL-SM,1,30,0.5989
CBF,MrSEQL-SM,1,40,0.5944
CBF,MrSEQL-SM,1,50,0.5911
CBF,MrSEQL-SM,1,60,0.59
CBF,MrSEQL-SM,1,70,0.5967
CBF,MrSEQL-SM,1,80,0.5978
CBF,MrSEQL-SM,1,90,0.5911
CBF,MrSEQL-SM,1,100,0.5878
CBF,MrSEQL-SM,2,0,0.6322
CBF,MrSEQL-SM,2,10,0.6344
CBF,MrSEQL-SM,2,20,0.6222
CBF,MrSEQL-SM,2,30,0.6367
CBF,MrSEQL-SM,2,40,0.62
CBF,MrSEQL-SM,2,50,0.6133
CBF,MrSEQL-SM,2,60,0.6044
CBF,MrSEQL-SM,2,70,0.6067
CBF,MrSEQL-SM,2,80,0.5956
CBF,MrSEQL-SM,2,90,0.6011
CBF,MrSEQL-SM,2,100,0.5878
CBF,ResNetCAM,1,0,0.6322
CBF,ResNetCAM,1,10,0.62
CBF,ResNetCAM,1,20,0.6111
CBF,ResNetCAM,1,30,0.6033
CBF,ResNetCAM,1,40,0.6022
CBF,ResNetCAM,1,50,0.6011
CBF,ResNetCAM,1,60,0.5956
CBF,ResNetCAM,1,70,0.5944
CBF,ResNetCAM,1,80,0.5956
CBF,ResNetCAM,1,90,0.6078
CBF,ResNetCAM,1,100,0.5878
CBF,ResNetCAM,2,0,0.6322
CBF,ResNetCAM,2,10,0.6233
CBF,ResNetCAM,2,20,0.6244
CBF,ResNetCAM,2,30,0.6156
CBF,ResNetCAM,2,40,0.6267
CBF,ResNetCAM,2,50,0.6178
CBF,ResNetCAM,2,60,0.6322
CBF,ResNetCAM,2,70,0.6244
CBF,ResNetCAM,2,80,0.6067
CBF,ResNetCAM,2,90,0.6011
CBF,ResNetCAM,2,100,0.5878
CMJ,MrSEQL-SM,1,0,0.9385
CMJ,MrSEQL-SM,1,10,0.905
CMJ,MrSEQL-SM,1,20,0.8715
CMJ,MrSEQL-SM,1,30,0.7989
CMJ,MrSEQL-SM,1,40,0.7263
CMJ,MrSEQL-SM,1,50,0.676
CMJ,MrSEQL-SM,1,60,0.6425
CMJ,MrSEQL-SM,1,70,0.581
CMJ,MrSEQL-SM,1,80,0.5251
CMJ,MrSEQL-SM,1,90,0.4749
CMJ,MrSEQL-SM,1,100,0.4581
CMJ,MrSEQL-SM,2,0,0.9385
CMJ,MrSEQL-SM,2,10,0.9218
CMJ,MrSEQL-SM,2,20,0.9106
CMJ,MrSEQL-SM,2,30,0.9106
CMJ,MrSEQL-SM,2,40,0.8994
CMJ,MrSEQL-SM,2,50,0.8771
