dataset,weights,type,explanation_auc
CBF,MrSEQL-SM,1,0.9991
CBF,MrSEQL-SM,2,0.9992
CBF,ResNetCAM,1,0.9993
CBF,ResNetCAM,2,0.9988
CMJ,MrSEQL-SM,1,0.9441
CMJ,MrSEQL-SM,2,0.9486
CMJ,ResNetCAM,1,0.9453
CMJ,ResNetCAM,2,0.9447
CMJ,MrSEQL-LIME,1,0.9441
CMJ,MrSEQL-LIME,2,0.9525
Coffee,MrSEQL-SM,1,0.9625
Coffee,MrSEQL-SM,2,0.9911
Coffee,ResNetCAM,1,0.9696
Coffee,ResNetCAM,2,0.9875
ECG200,MrSEQL-SM,1,0.811
ECG200,MrSEQL-SM,2,0.844
ECG200,ResNetCAM,1,0.838
ECG200,ResNetCAM,2,0.827
GunPoint,MrSEQL-SM,1,0.9477
GunPoint,MrSEQL-SM,2,0.9737
GunPoint,ResNetCAM,1,0.961
GunPoint,ResNetCAM,2,0.9677
GunPoint,MrSEQL-LIME,1,0.9677
GunPoint,MrSEQL-LIME,2,0.9697
